system:index,BasinID,area,feature,year,.geo
18_2_00020000000000002c8c,5080162350,1.4236291734053789E7,waterArea,2003.0,
18_2_000600000000000023f1,6080108730,3593515.0330384495,waterArea,2003.0,
18_2_000600000000000029af,6080099320,4854580.549204389,waterArea,2003.0,
19_1_1_00000000000000002704,1080977020,0.0,cl,2004.0,
19_1_1_00020000000000002c8c,5080162350,2029.0,cl,2004.0,
19_1_1_000600000000000023f1,6080108730,496.0,cl,2004.0,
19_1_1_000600000000000029af,6080099320,290.0,cl,2004.0,
19_1_2_00000000000000002704,1080977020,0.0,rivArea,2004.0,
19_1_2_00020000000000002c8c,5080162350,1.2516631458981503E7,rivArea,2004.0,
19_1_2_000600000000000023f1,6080108730,5993299.376222618,rivArea,2004.0,
19_1_2_000600000000000029af,6080099320,2844095.0006469726,rivArea,2004.0,
19_2_00000000000000002704,1080977020,370443.8734741211,waterArea,2004.0,
19_2_00020000000000002c8c,5080162350,1.52009736301607E7,waterArea,2004.0,
19_2_000600000000000023f1,6080108730,6975762.289385388,waterArea,2004.0,
19_2_000600000000000029af,6080099320,5322792.512012437,waterArea,2004.0,
20_1_1_00000000000000002704,1080977020,0.0,cl,2005.0,
20_1_1_00020000000000002c8c,5080162350,2090.0,cl,2005.0,
20_1_1_000600000000000023f1,6080108730,817.0,cl,2005.0,
20_1_1_000600000000000029af,6080099320,340.0,cl,2005.0,
20_1_2_00000000000000002704,1080977020,0.0,rivArea,2005.0,
20_1_2_00020000000000002c8c,5080162350,1.2699377523884133E7,rivArea,2005.0,
20_1_2_000600000000000023f1,6080108730,6854801.337648399,rivArea,2005.0,
20_1_2_000600000000000029af,6080099320,2979180.9382080077,rivArea,2005.0,
20_2_00000000000000002704,1080977020,204316.62481689453,waterArea,2005.0,
20_2_00020000000000002c8c,5080162350,1.5625112992773198E7,waterArea,2005.0,
20_2_000600000000000023f1,6080108730,8025088.467241833,waterArea,2005.0,
20_2_000600000000000029af,6080099320,5663495.026016534,waterArea,2005.0,
21_1_1_00000000000000002704,1080977020,0.0,cl,2006.0,
21_1_1_00020000000000002c8c,5080162350,2025.0,cl,2006.0,
21_1_1_000600000000000023f1,6080108730,241.0,cl,2006.0,
21_1_1_000600000000000029af,6080099320,308.0,cl,2006.0,
21_1_2_00000000000000002704,1080977020,0.0,rivArea,2006.0,
21_1_2_00020000000000002c8c,5080162350,1.2326051712153416E7,rivArea,2006.0,
21_1_2_000600000000000023f1,6080108730,3889763.693054199,rivArea,2006.0,
21_1_2_000600000000000029af,6080099320,2859810.525510541,rivArea,2006.0,
21_2_00000000000000002704,1080977020,121699.5816040039,waterArea,2006.0,
21_2_00020000000000002c8c,5080162350,1.509578227833563E7,waterArea,2006.0,
21_2_000600000000000023f1,6080108730,4837129.641249953,waterArea,2006.0,
21_2_000600000000000029af,6080099320,5511646.655019244,waterArea,2006.0,
22_1_1_00000000000000002704,1080977020,0.0,cl,2007.0,
22_1_1_00020000000000002c8c,5080162350,1957.0,cl,2007.0,
22_1_1_000600000000000023f1,6080108730,964.0,cl,2007.0,
22_1_1_000600000000000029af,6080099320,287.0,cl,2007.0,
22_1_2_00000000000000002704,1080977020,0.0,rivArea,2007.0,
22_1_2_00020000000000002c8c,5080162350,1.2377234874623977E7,rivArea,2007.0,
22_1_2_000600000000000023f1,6080108730,6666537.044433594,rivArea,2007.0,
22_1_2_000600000000000029af,6080099320,2770925.0362527287,rivArea,2007.0,
22_2_00000000000000002704,1080977020,157242.1990966797,waterArea,2007.0,
22_2_00020000000000002c8c,5080162350,1.543666465222479E7,waterArea,2007.0,
22_2_000600000000000023f1,6080108730,7887168.887831984,waterArea,2007.0,
22_2_000600000000000029af,6080099320,5551732.432607135,waterArea,2007.0,
23_1_1_00000000000000002704,1080977020,0.0,cl,2008.0,
23_1_1_00020000000000002c8c,5080162350,1933.0,cl,2008.0,
23_1_1_000600000000000023f1,6080108730,818.0,cl,2008.0,
23_1_1_000600000000000029af,6080099320,262.0,cl,2008.0,
23_1_2_00000000000000002704,1080977020,0.0,rivArea,2008.0,
23_1_2_00020000000000002c8c,5080162350,1.2521539279882096E7,rivArea,2008.0,
23_1_2_000600000000000023f1,6080108730,6078273.613830566,rivArea,2008.0,
23_1_2_000600000000000029af,6080099320,2914299.690123315,rivArea,2008.0,
23_2_00000000000000002704,1080977020,167023.0112915039,waterArea,2008.0,
23_2_00020000000000002c8c,5080162350,1.547289252812859E7,waterArea,2008.0,
23_2_000600000000000023f1,6080108730,7249466.203667136,waterArea,2008.0,
23_2_000600000000000029af,6080099320,5691473.97889859,waterArea,2008.0,
24_1_1_00000000000000002704,1080977020,0.0,cl,2009.0,
24_1_1_00020000000000002c8c,5080162350,1989.0,cl,2009.0,
24_1_1_000600000000000023f1,6080108730,594.0,cl,2009.0,
24_1_1_000600000000000029af,6080099320,282.0,cl,2009.0,
24_1_2_00000000000000002704,1080977020,0.0,rivArea,2009.0,
24_1_2_00020000000000002c8c,5080162350,1.21403360954822E7,rivArea,2009.0,
24_1_2_000600000000000023f1,6080108730,5961591.343249273,rivArea,2009.0,
24_1_2_000600000000000029af,6080099320,3047626.1191394283,rivArea,2009.0,
24_2_00000000000000002704,1080977020,92401.0161743164,waterArea,2009.0,
