system:index,BasinID,area,feature,year,.geo
4_1_2_000700000000000035bb,6080546500,4.6675637443966374E7,rivArea,1989.0,
4_1_2_0007000000000000362a,6080552520,4.945144549814553E7,rivArea,1989.0,
4_1_2_0007000000000000362b,6080552360,1.797971332764294E7,rivArea,1989.0,
4_1_2_00070000000000003659,6080548660,6878096.362488032,rivArea,1989.0,
4_1_2_0007000000000000365a,6080548950,2.0908947300223075E7,rivArea,1989.0,
4_1_2_0007000000000000369f,6080549240,3.015074557274768E7,rivArea,1989.0,
4_1_2_000700000000000036a0,6080549470,1.6325609636362592E7,rivArea,1989.0,
4_1_2_0007000000000000371f,6080540560,6032771.554338284,rivArea,1989.0,
4_1_2_00070000000000003720,6080540660,5.420495145842764E7,rivArea,1989.0,
4_2_000000000000000026fe,1080982910,0.0,waterArea,1989.0,
4_2_00000000000000002704,1080977020,0.0,waterArea,1989.0,
4_2_0000000000000000270b,1081012470,0.0,waterArea,1989.0,
4_2_00020000000000002c8c,5080162350,1.103159187242647E7,waterArea,1989.0,
4_2_000200000000000037d2,5080166880,2.204330042286688E7,waterArea,1989.0,
4_2_000600000000000023f1,6080108730,0.0,waterArea,1989.0,
4_2_000700000000000035bb,6080546500,5.703967677001259E7,waterArea,1989.0,
4_2_0007000000000000362a,6080552520,5.473619894217629E7,waterArea,1989.0,
4_2_0007000000000000362b,6080552360,2.432495716321781E7,waterArea,1989.0,
4_2_00070000000000003659,6080548660,8249977.457610246,waterArea,1989.0,
4_2_0007000000000000365a,6080548950,2.5958623328592457E7,waterArea,1989.0,
4_2_0007000000000000369f,6080549240,3.72877355590758E7,waterArea,1989.0,
4_2_000700000000000036a0,6080549470,1.78335098552957E7,waterArea,1989.0,
4_2_0007000000000000371f,6080540560,6393947.916127403,waterArea,1989.0,
4_2_00070000000000003720,6080540660,5.826321288907662E7,waterArea,1989.0,
5_1_1_000000000000000026fe,1080982910,0.0,cl,1990.0,
5_1_1_00000000000000002704,1080977020,0.0,cl,1990.0,
5_1_1_0000000000000000270b,1081012470,0.0,cl,1990.0,
5_1_1_00020000000000002c8c,5080162350,2532.0,cl,1990.0,
5_1_1_000200000000000037d2,5080166880,5567.0,cl,1990.0,
5_1_1_000600000000000023f1,6080108730,0.0,cl,1990.0,
5_1_1_000700000000000035bb,6080546500,3137.2509803921566,cl,1990.0,
5_1_1_0007000000000000362a,6080552520,5514.850980392157,cl,1990.0,
5_1_1_0007000000000000362b,6080552360,1932.3803921568629,cl,1990.0,
5_1_1_00070000000000003659,6080548660,1439.8745098039217,cl,1990.0,
5_1_1_0007000000000000365a,6080548950,2251.7176470588233,cl,1990.0,
5_1_1_0007000000000000369f,6080549240,4902.792156862745,cl,1990.0,
5_1_1_000700000000000036a0,6080549470,6847.98431372549,cl,1990.0,
